Пятницкое шоссе;Митино;2;blue
Митино;Волоколамская;3;blue
Волоколамская;Мякинино;3;blue
Мякинино;Строгино;3;blue
Строгино;Крылатское;7;blue
Крылатское;Молодежная;3;blue
Молодежная;Кунцевская;3;blue
Кунцевская;Славянский бульвар;3;blue
Славянский бульвар;Парк Победы;4;blue
Парк Победы;Киевская;5;blue
Киевская;Смоленская;2;blue
Смоленская;Арбатская;2;blue
Арбатская;Площадь Революции;2;blue
Площадь Революции;Курская;3;blue
Курская;Бауманская;3;blue
Бауманская;Электрозаводская;2;blue
Электрозаводская;Семеновская;2;blue
Семеновская;Партизанская;3;blue
Партизанская;Измайловская;3;blue
Измайловская;Первомайская;3;blue
Первомайская;Щелковская;2;blue
Ховрино;Беломорская;2;green
Беломорская;Речной вокзал;2;green
Речной вокзал;Водный стадион;3;green
Водный стадион;Войковская;3;green
Войковская;Сокол;3;green
Сокол;Аэропорт;2;green
Аэропорт;Динамо;3;green
Динамо;Белорусская;3;green
Белорусская;Маяковская;2;green
Маяковская;Тверская ;2;green
Тверская ;Площадь Революции;2;green
Площадь Революции;Новокузнецкая ;3;green
Новокузнецкая ;Павелецкая ;2;green
Павелецкая ;Автозаводская;4;green
Автозаводская;Технопарк;3;green
Технопарк;Коломенская;3;green
Коломенская;Каширская;4;green
Каширская;Кантемировская;3;green
Кантемировская;Царицыно;3;green
Царицыно;Орехово;3;green
Орехово;Домодедовская;2;green
Домодедовская;Красногвардейская;2;green
Красногвардейская;Алма-Атинская;5;green
Парк Культуры;Октябрьская;2;brown
Октябрьская;Добрынинская;2;brown
Добрынинская;Павелецкая ;2;brown
Павелецкая ;Таганская;2;brown
Таганская;Курская;3;brown
Курская;Комсомольская;3;brown
Комсомольская;Проспект Мира;3;brown
Проспект Мира;Новослободская;3;brown
Новослободская;Белорусская;2;brown
Белорусская;Краснопресненская;3;brown
Краснопресненская;Киевская;3;brown
Киевская;Парк Культуры;3;brown
Бульвар Рокоссовского;Черкизовская;3;red
Черкизовская;Преображенская площадь;3;red
Преображенская площадь;Сокольники;4;red
Сокольники;Красносельская;2;red
Красносельская;Комсомольская;2;red
Комсомольская;Красные Ворота;2;red
Красные Ворота;Чистые пруды;2;red
Чистые пруды;Лубянка;2;red
Лубянка;Площадь Революции;2;red
Площадь Революции;Арбатская;2;red
Арбатская;Кропоткинская;2;red
Кропоткинская;Парк культуры;2;red
Парк культуры;Фрунзенская;3;red
Фрунзенская;Спортивная ;2;red
Спортивная;Воробьёвы горы;3;red
Воробьёвы горы;Университет;3;red
Университет;Пр. Вернадского;3;red
Пр. Вернадского;Юго-Западная;3;red
Юго-Западная;Тропарёво;4;red
Тропарёво;Румянцево;3;red
Румянцево;Саларьево;3;red
Саларьево;Филатов луг;4;red
Филатов луг;Прошкино;4;red
Прошкино;Ольховая;4;red
Ольховая;Коммунарка;2;red
Медведково;Бабушкинская;2;orange
Бабушкинская;Свиблово;2;orange
Свиблово;Ботанический сад;2;orange
Ботанический сад;ВДНХ;4;orange
ВДНХ;Алексеевская;2;orange
Алексеевская;Рижская;3;orange
Рижская;Проспект Мира;2;orange
Проспект Мира;Сухаревская;2;orange
Сухаревская;Чистые пруды;2;orange
Чистые пруды;Китай-город;2;orange
Китай-город;Новокузнецкая ;3;orange
Новокузнецкая ;Октябрьская;3;orange
Октябрьская;Шаболовская;2;orange
Шаболовская;Ленинский проспект;3;orange
Ленинский проспект;Академическая;3;orange
Академическая;Профсоюзная;2;orange
Профсоюзная;Новые Черёмушки;2;orange
Новые Черёмушки;Калужская;2;orange
Калужская;Беляево;3;orange
Беляево;Коньково;2;orange
Коньково;Тёплый Стан;3;orange
Тёплый Стан;Ясенево;3;orange
Ясенево;Новоясеневская;2;orange
Планерная;Сходненская;3;purple
Сходненская;Тушинская;3;purple
Тушинская;Спартак;3;purple
Спартак;Щукинская;3;purple
Щукинская;Октябрьское поле;3;purple
Октябрьское поле;Полежаевская;3;purple
Полежаевская;Беговая;3;purple
Беговая;Улица 1905 года;2;purple
Улица 1905 года;Краснопресненская;2;purple
Краснопресненская;Тверская ;3;purple
Тверская ;Лубянка;2;purple
Лубянка;Китай-город;2;purple
Китай-город;Таганская;3;purple
Таганская;Пролетарская;2;purple
Пролетарская;Волгоградский пр-кт;3;purple
Волгоградский пр-кт;Текстильщики;4;purple
Текстильщики;Кузьминки;3;purple
Кузьминки;Рязанский пр-кт;3;purple
Рязанский пр-кт;Выхино;3;purple
Выхино;Лермонтовский проспект;4;purple
Лермонтовский проспект;Жулебино;3;purple
Жулебино;Котельники;3;purple
Алтуфьево;Бибирево;3;grey
Бибирево;Отрадное;3;grey
Отрадное;Владыкино;3;grey
Владыкино;Петровско-Разумовская;2;grey
Петровско-Разумовская;Тимирязевская;3;grey
Тимирязевская;Дмитровская;2;grey
Дмитровская;Савеловская;2;grey
Савеловская;Новослободская;2;grey
Новослободская;Цветной бульвар;3;grey
Цветной бульвар;Тверская ;2;grey
Тверская ;Арбатская;3;grey
Арбатская;Полянка;2;grey
Полянка;Добрынинская;2;grey
Добрынинская;Тульская;3;grey
Тульская;Нагатинская;4;grey
Нагатинская;Нагорная;2;grey
Нагорная;Нахимовский проспект;2;grey
Нахимовский проспект;Севастопольская;2;grey
Севастопольская;Чертановская;2;grey
Чертановская;Южная;3;grey
Южная;Пражская;2;grey
Пражская;Улица Академика Янгеля;2;grey
Улица Академика Янгеля;Аннино;2;grey
Аннино;Бульвар Дмитрия Донского;3;grey
Красногвардейская;Шипиловская;2;light green
Шипиловская;Борисово;2;light green
Борисово;Марьино;3;light green
Марьино;Братиславская;2;light green
Братиславская;Люблино;3;light green
Люблино;Волжская;3;light green
Волжская;Печатники;3;light green
Печатники;Кожуховская;4;light green
Кожуховская;Дубровка;2;light green
Дубровка;Пролетарская;2;light green
Пролетарская;Римская;3;light green
Римская;Курская;3;light green
Курская;Чистые пруды;3;light green
Чистые пруды;Цветной бульвар;3;light green
Цветной бульвар;Достоевская;3;light green
Достоевская;Марьина роща;3;light green
Марьина роща;Бутырская;3;light green
Бутырская;Фонвизинская;3;light green
Фонвизинская;Петровско-Разумовская;3;light green
Петровско-Разумовская;Окружная;2;light green
Окружная;Верхние Лихоборы;2;light green
Верхние Лихоборы;Селигерская;3;light green
Деловой центр;Парк Победы;4;yellow
Парк Победы;Минская;3;yellow
Минская;Ломоносовский проспект;4;yellow
Ломоносовский проспект;Раменки;2;yellow
Раменки;Мичуринский проспект;3;yellow
Мичуринский проспект;Озерная;4;yellow
Озерная;Говорово;3;yellow
Говорово;Солнцево;3;yellow
Солнцево;Боровское шоссе;3;yellow
Боровское шоссе;Новопеределкино;2;yellow
Новопеределкино;Рассказовка;2;yellow
Электрозаводская;Лефортово;3;pink
Лефортово;Авиамоторная;2;pink
Авиамоторная;Нижегородская;4;pink
Нижегородская;Стахановская;3;pink
Стахановская;Окская;3;pink
Окская;Юго-Восточная;4;pink
Юго-Восточная;Лермонтовский проспект;3;pink
Лермонтовский проспект;Улица Дмитриевского;3;pink
Улица Дмитриевского;Лухмановская;2;pink
Лухмановская;Некрасовка;3;pink
Окружная;Владыкино;3;light pink
Владыкино;Ботанический Сад;4;light pink
Ботанический Сад;Ростокино;3;light pink
Ростокино;Белокаменная;3;light pink
Белокаменная;Бульвар Рокоссовского;3;light pink
Бульвар Рокоссовского;Черкизовская ;3;light pink
Черкизовская ;Партизанская;3;light pink
Партизанская;Соколиная Гора;2;light pink
Соколиная Гора;Шоссе Энтузиастов;2;light pink
Шоссе Энтузиастов;Андроновка;3;light pink
Андроновка;Нижегородская;5;light pink
Нижегородская;Новохохловская;3;light pink
Новохохловская;Угрешская;2;light pink
Угрешская;Дубровка;2;light pink
Дубровка;Автозаводская;2;light pink
Автозаводская;ЗИЛ;3;light pink
ЗИЛ;Верхние Котлы;3;light pink
Верхние Котлы;Крымская;2;light pink
Крымская;Ленинский проспект;4;light pink
Ленинский проспект;Спортивная ;3;light pink
Спортивная ;Кутузовская;4;light pink
Кутузовская;Деловой центр;2;light pink
Деловой центр;Шелепиха;2;light pink
Шелепиха;Хорошёво;3;light pink
Хорошёво;Октябрьское поле;2;light pink
Октябрьское поле;Панфиловская;2;light pink
Панфиловская;Стрешнево;3;light pink
Стрешнево;Войковская;3;light pink
Войковская;Коптево;3;light pink
Коптево;Лихоборы;4;light pink
Лихоборы;Окружная;3;light pink
